"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138735","occ","","","11798","Lufengpithecus","genus","89270","Turolian","","8.7","5.333","4196"
"138736","occ","","","11798","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11394"
"138831","occ","","","11800","Sivapithecus indicus","species","133676","Late Miocene","","11.608","5.333","4199"
"150075","occ","22506","","13293","Hylobatidae","family","40889","Middle Pleistocene","Late Pleistocene","0.781","0.0117","29343"
"150076","occ","","","13293","Pongo pygmaeus","species","232338","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150077","occ","","","13293","Macaca","genus","40869","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"150078","occ","10760","","13293","Trachypithecus","genus","92697","Middle Pleistocene","Late Pleistocene","0.781","0.0117","10881"
"153694","occ","","","13630","Aotus dindensis","species","143115","Friasian","","16.3","15.5","29405"
"153695","occ","","","13630","Cebidae","family","40844","Friasian","","16.3","15.5","6136"
"154616","occ","","","13738","Homo sapiens","species","83088","Holocene","","0.0117","0","6145"
"154617","occ","","","13738","Presbytis","genus","40875","Holocene","","0.0117","0","6145"
"161532","occ","","","14243","Homo sapiens","species","83088","Late Pleistocene","","0.126","0.0117","6297"
"211988","occ","","","21281","Hominidae","family","40899","Gelasian","","2.588","1.806","4454"
"212012","occ","","","21294","Theropithecus oswaldi","species","133586","Calabrian","","1.806","0.781","4454"
"212025","occ","","","21294","Cercopithecidae","family","40860","Calabrian","","1.806","0.781","4454"
"212049","occ","","","21294","Homo erectus","species","83084","Calabrian","","1.806","0.781","4454"
"212130","occ","","","21332","Parapapio","genus","40874","Messinian","Piacenzian","7.246","2.588","4648"
"212131","occ","","","21332","Australopithecus africanus","species","83066","Messinian","Piacenzian","7.246","2.588","4648"
"212140","occ","","","21332","Cercocebus","genus","40861","Messinian","Piacenzian","7.246","2.588","4648"
"212175","occ","","","21334","Theropithecus","genus","40879","Piacenzian","","3.6","2.588","4648"
"212215","occ","","","21336","Parapapio","genus","40874","Zanclean","","5.333","3.6","4648"
"212216","occ","","","21336","Australopithecus","genus","40900","Zanclean","","5.333","3.6","4648"
"212227","occ","","","21337","Homo sapiens","species","83088","Late Pleistocene","","0.126","0.0117","4652"
"212246","occ","19389","","21357","Proconsul africanus","species","157732","Burdigalian","","20.44","15.97","4662"
"212283","occ","","","21367","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212288","occ","","","21368","Hominidae","family","40899","Calabrian","","1.806","0.781","4469"
"212300","occ","","","21369","Cercopithecus","genus","233952","Pliocene","Pleistocene","5.333","0.0117","4469"
"212308","occ","","","21370","Homo","genus","40901","Late Pliocene","Calabrian","3.6","0.781","8610"
"212316","occ","","","21370","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212320","occ","","","21376","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212322","occ","","","21377","Theropithecus oswaldi","species","133586","Pliocene","Calabrian","5.333","0.781","4469"
"212328","occ","","","21377","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","4469"
"212331","occ","","","21377","Cercopithecidae","family","40860","Pliocene","Calabrian","5.333","0.781","4469"
"212332","occ","","","21377","Cercocebus","genus","40861","Pliocene","Calabrian","5.333","0.781","4469"
"212335","occ","","","21394","Hominidae","family","40899","Gelasian","","2.588","1.806","4733"
"212336","occ","","","21395","Theropithecus oswaldi","species","133586","Pliocene","Pleistocene","5.333","0.0117","4469"
"212338","occ","","","21396","Homo","genus","40901","Early Pleistocene","","2.588","0.781","8610"
"212340","occ","","","21396","Cercopithecoides","genus","40863","Early Pleistocene","","2.588","0.781","4447"
"212343","occ","","","21396","Hominidae","family","40899","Early Pleistocene","","2.588","0.781","8610"
"212347","occ","","","21398","Homo","genus","40901","Gelasian","","2.588","1.806","4447"
"212353","occ","","","21398","Hominidae","family","40899","Gelasian","","2.588","1.806","4447"
"212357","occ","","","21399","Theropithecus oswaldi","species","133586","Pliocene","Calabrian","5.333","0.781","4488"
"212362","occ","","","21399","Cercopithecoides","genus","40863","Pliocene","Calabrian","5.333","0.781","4488"
"212363","occ","","","21399","Cercopithecidae","family","40860","Pliocene","Calabrian","5.333","0.781","4488"
"212389","occ","","","21402","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"212391","occ","","","21403","Homo","genus","40901","Calabrian","","1.806","0.781","4469"
"212393","occ","","","21403","Hominidae","family","40899","Calabrian","","1.806","0.781","4469"
"212402","occ","","","21410","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212405","occ","","","21413","Homo","genus","40901","Calabrian","","1.806","0.781","8610"
"212407","occ","","","21414","Cercopithecoides","genus","40863","Pliocene","Pleistocene","5.333","0.0117","4447"
"212408","occ","","","21415","Homo","genus","40901","Calabrian","","1.806","0.781","8610"
"212409","occ","","","21417","Cercopithecoides","genus","40863","Pliocene","Pleistocene","5.333","0.0117","4447"
"212412","occ","","","21418","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
"212416","occ","","","21419","Hominidae","family","40899","Pliocene","Calabrian","5.333","0.781","4488"
"212417","occ","","","21420","Homo","genus","40901","Gelasian","","2.588","1.806","8610"
"212423","occ","","","21421","Homo","genus","40901","Late Pliocene","Calabrian","3.6","0.781","8610"
"212450","occ","","","21441","Homo","genus","40901","Calabrian","","1.806","0.781","8610"
"212451","occ","","","21441","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212454","occ","","","21442","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4760"
"212457","occ","","","21443","Hominidae","family","40899","Calabrian","","1.806","0.781","4488"
"212461","occ","","","21445","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","8610"
"212465","occ","","","21446","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212468","occ","","","21449","Hominidae","family","40899","Calabrian","","1.806","0.781","4469"
"212469","occ","","","21449","Homo erectus","species","83084","Calabrian","","1.806","0.781","8610"
"212475","occ","","","21451","Hominidae","family","40899","Pliocene","Pleistocene","5.333","0.0117","4469"
"212485","occ","","","21455","Homo","genus","40901","Calabrian","","1.806","0.781","8610"
"212486","occ","","","21455","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212494","occ","","","21457","Hominidae","family","40899","Gelasian","","2.588","1.806","4447"
"212508","occ","","","21461","Hominidae","family","40899","Gelasian","","2.588","1.806","4469"
"212532","occ","","","21462","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212548","occ","","","21464","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","4469"
"212554","occ","","","21468","Hominidae","family","40899","Calabrian","","1.806","0.781","8610"
"212556","occ","","","21472","Homo","genus","40901","Pliocene","Pleistocene","5.333","0.0117","8610"
