Species	Status	min_age	max_age
Lufengpithecus	extinct	5.333	8.7
Laccopithecus_robustus	extinct	5.333	8.7
Sivapithecus_indicus	extinct	5.333	11.608
Hylobatidae	extinct	0.0117	0.781
Pongo_pygmaeus	extinct	0.0117	0.781
Macaca	extinct	0.0117	0.781
Trachypithecus	extinct	0.0117	0.781
Aotus_dindensis	extinct	15.5	16.3
Cebidae	extinct	15.5	16.3
Homo_sapiens	extant	0	0.0117
Presbytis	extinct	0	0.0117
Homo_sapiens	extant	0.0117	0.126
Hominidae	extinct	1.806	2.588
Theropithecus_oswaldi	extant	0.781	1.806
Cercopithecidae	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Parapapio	extinct	2.588	7.246
Australopithecus_africanus	extinct	2.588	7.246
Cercocebus	extinct	2.588	7.246
Theropithecus	extinct	2.588	3.6
Parapapio	extinct	3.6	5.333
Australopithecus	extinct	3.6	5.333
Homo_sapiens	extant	0.0117	0.126
Proconsul_africanus	extinct	15.97	20.44
Hominidae	extinct	0.781	3.6
Hominidae	extinct	0.781	1.806
Cercopithecus	extinct	0.0117	5.333
Homo	extinct	0.781	3.6
Hominidae	extinct	0.781	3.6
Hominidae	extinct	1.806	2.588
Theropithecus_oswaldi	extant	0.781	5.333
Hominidae	extinct	0.781	5.333
Cercopithecidae	extinct	0.781	5.333
Cercocebus	extinct	0.781	5.333
Hominidae	extinct	1.806	2.588
Theropithecus_oswaldi	extant	0.0117	5.333
Homo	extinct	0.781	2.588
Cercopithecoides	extinct	0.781	2.588
Hominidae	extinct	0.781	2.588
Homo	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Theropithecus_oswaldi	extant	0.781	5.333
Cercopithecoides	extinct	0.781	5.333
Cercopithecidae	extinct	0.781	5.333
Homo_erectus	extinct	0.781	1.806
Homo	extinct	0.781	1.806
Hominidae	extinct	0.781	1.806
Hominidae	extinct	1.806	2.588
Homo	extinct	0.781	1.806
Cercopithecoides	extinct	0.0117	5.333
Homo	extinct	0.781	1.806
Cercopithecoides	extinct	0.0117	5.333
Hominidae	extinct	1.806	2.588
Hominidae	extinct	0.781	5.333
Homo	extinct	1.806	2.588
Homo	extinct	0.781	3.6
Homo	extinct	0.781	1.806
Hominidae	extinct	0.781	1.806
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	0.781	1.806
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Hominidae	extinct	0.0117	5.333
Homo	extinct	0.781	1.806
Hominidae	extinct	0.781	1.806
Hominidae	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Hominidae	extinct	0.781	3.6
Hominidae	extinct	0.781	3.6
Hominidae	extinct	0.781	1.806
Homo	extinct	0.0117	5.333
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	1.806	2.588
Homo_erectus	extinct	1.806	2.588
Homo	extinct	0.781	3.6
Cercopithecoides	extinct	0.781	3.6
Cercopithecoides	extinct	2.588	3.6
Hominidae	extinct	2.588	3.6
Hominidae	extinct	2.588	3.6
Hominidae	extinct	0.781	5.333
Homo_erectus	extinct	0.0117	5.333
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	0.781	5.333
Cercopithecoides	extinct	0.0117	5.333
Cercopithecidae	extinct	0.0117	5.333
Hominidae	extinct	0.781	5.333
Cercopithecoides	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Cercopithecidae	extinct	0.0117	5.333
Cercopithecoides	extinct	0.0117	5.333
Hominidae	extinct	0.781	1.806
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	3.6	5.333
Hominidae	extinct	0.0117	5.333
Hominidae	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Hominidae	extinct	0.781	3.6
Theropithecus	extinct	1.806	2.588
Australopithecus_boisei	extinct	0.781	1.806
Hominidae	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Homo	extinct	0.0117	5.333
Colobus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercocebus	extinct	0.0117	5.333
Australopithecus_boisei	extinct	0.781	1.806
Australopithecus_boisei	extinct	0.781	1.806
Theropithecus_oswaldi	extant	0.0117	2.588
Australopithecus_boisei	extinct	0.781	1.806
Cercopithecus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Hominidae	extinct	0	0.0117
Cercopithecoides	extinct	2.588	3.6
Hominidae	extinct	2.588	3.6
Hominidae	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Alouatta_seniculus	extant	0	0.0117
Cebus_nigrivittatus	extant	0	0.0117
Alouatta_seniculus	extant	0	0.0117
Ateles_paniscus	extant	0	0.0117
Cebus_apella	extant	0	0.0117
Chiropotes	extinct	0	0.0117
Pithecia	extinct	0	0.0117
Leontopithecus_midas	extant	0	0.0117
Alouatta_seniculus	extant	0	0.0117
Aotus_trivirgatus	extant	0	0.0117
Ateles_paniscus	extant	0	0.0117
Callicebus	extinct	0	0.0117
Cebus_apella	extant	0	0.0117
Lagothrix_lagotricha	extant	0	0.0117
Saguinus_fuscicollis	extant	0	0.0117
Saguinus	extinct	0	0.0117
Saimiri_sciureus	extant	0	0.0117
Callimico_goeldii	extant	0	0.0117
Callithrix_pygmaea	extant	0	0.0117
Papio_anubis	extant	0	0.0117
Chlorocebus_aethiops	extant	0	0.0117
Aotus_trivirgatus	extant	0	0.0117
Ateles_geoffroyi	extant	0	0.0117
Cebus_capucinus	extant	0	0.0117
Saguinus	extinct	0	0.0117
Alouatta_palliata	extant	0	0.0117
Papio_anubis	extant	0	0.0117
Chlorocebus_aethiops	extant	0	0.0117
Chlorocebus_patas	extant	0	0.0117
Papio	extinct	0	0.0117
Cercopithecus_pygerythrus	extant	0	0.0117
Parapapio	extinct	2.588	3.6
Theropithecus	extinct	2.588	3.6
Theropithecus	extinct	2.588	3.6
Papio	extinct	0.781	2.588
Papio	extinct	0.0117	2.588
Theropithecus_oswaldi	extant	0.0117	2.588
Papio	extinct	0.0117	2.588
Papio	extinct	0.0117	2.588
Homo_sapiens	extant	0	2.588
Homo_sapiens	extant	0	2.588
Homo_sapiens	extant	0.0117	2.588
Homo_sapiens	extant	0.0117	2.588
Cercocebus	extinct	0.0117	0.781
Homo_sapiens	extant	0	0.0117
Papio	extinct	0.0117	2.588
Papio	extinct	0	0.0117
Papio	extinct	0.0117	2.588
Cercopithecus	extinct	0.0117	2.588
Homo_sapiens	extant	0.0117	2.588
Homo_sapiens	extant	0	2.588
Papio	extinct	0.781	1.806
Praeanthropus_africanus	extinct	2.588	3.6
Hominidae	extinct	0.781	1.806
Cercopithecoides	extinct	0.781	1.806
Cercopithecidae	extinct	0.781	1.806
Cercopithecidae	extinct	0.781	2.588
Cercopithecoides	extinct	0.781	1.806
Cercopithecoides	extinct	0.781	1.806
Cercopithecus	extinct	0.0117	23.03
Chlorocebus_aethiops	extant	2.588	5.333
Colobus_guereza	extant	2.588	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Parapapio	extinct	0.0117	5.333
Theropithecus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Parapapio	extinct	0.0117	23.03
Theropithecus_oswaldi	extant	0	2.588
Chlorocebus_aethiops	extant	0	2.588
Colobus_guereza	extant	0	2.588
Cercopithecidae	extinct	3.6	11.62
Paracolobus	extinct	3.6	11.62
Cercopithecus	extinct	0	2.588
Theropithecus	extinct	0	2.588
Theropithecus	extinct	0.0117	5.333
Australopithecus	extinct	0.0117	5.333
Cercopithecus	extinct	3.6	5.333
Cercocebus	extinct	3.6	5.333
Cercopithecidae	extinct	3.6	5.333
Cercopithecidae	extinct	3.6	5.333
Cercopithecinae	extinct	3.6	5.333
Papio_hamadryas	extant	0	2.588
Homo_sapiens	extant	0	2.588
Cercopithecidae	extinct	3.6	11.62
Paracolobus	extinct	3.6	11.62
Cercopithecidae	extinct	3.6	11.62
Macaca	extinct	3.6	11.62
Libypithecus	extinct	3.6	11.62
Paracolobus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercopithecidae	extinct	0.0117	5.333
Dinopithecus	extinct	0.0117	5.333
Parapapio	extinct	2.588	5.333
Parapapio	extinct	2.588	11.62
Australopithecus_africanus	extinct	2.588	11.62
Cercocebus	extinct	2.588	11.62
Parapapio	extinct	2.588	11.608
Colobinae	extinct	2.588	11.608
Theropithecus	extinct	0.0117	3.6
Parapapio	extinct	2.588	11.62
Paracolobus	extinct	0.781	7.246
Cercopithecidae	extinct	0.781	7.246
Colobinae	extinct	0.781	7.246
Australopithecus	extinct	0.781	7.246
Hominoidea	extinct	0.781	7.246
Theropithecus	extinct	0.781	7.246
Cercopithecoidea	extinct	0.781	7.246
Theropithecus	extinct	0.0117	2.588
Australopithecus	extinct	0.0117	2.588
Cercopithecidae	extinct	0.781	5.333
Australopithecus_boisei	extinct	0.781	5.333
Theropithecus	extinct	0.781	5.333
Theropithecus	extinct	0.0117	2.588
Australopithecus	extinct	0.0117	2.588
Papio	extinct	0.0117	2.588
Colobus	extinct	0.0117	2.588
Homo_erectus	extinct	0.0117	2.588
Cercopithecidae	extinct	0.0117	2.588
Theropithecus_oswaldi	extant	0.0117	2.588
Victoriapithecus	extinct	13.82	15.97
Kalepithecus	extinct	13.82	15.97
Cercopithecidae	extinct	5.333	7.246
Cercopithecoidea	extinct	5.333	7.246
Cercopithecidae	extinct	5.333	7.246
Hominidae	extinct	5.333	7.246
Homo	extinct	0.0117	2.588
Colobus	extinct	0.0117	2.588
Chlorocebus_aethiops	extant	0.0117	2.588
Papio_anubis	extant	0.0117	2.588
Papio	extinct	0.781	7.246
Victoriapithecus	extinct	11.62	13.82
Hominidae	extinct	11.62	13.82
Hominoidea	extinct	11.62	15.97
Cercopithecidae	extinct	5.333	11.62
Parapapio	extinct	2.588	5.333
Colobinae	extinct	2.588	5.333
Colobinae	extinct	2.588	5.333
Parapapio	extinct	0.0117	5.333
Theropithecus	extinct	0.0117	5.333
Homo_rudolfensis	extinct	0.0117	5.333
Papio	extinct	0.0117	5.333
Parapapio	extinct	3.6	5.333
Cercopithecidae	extinct	3.6	5.333
Theropithecus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	1.806	3.6
Homo	extinct	0.0117	2.588
Australopithecus_boisei	extinct	0.781	2.588
Homo	extinct	0.781	2.588
Theropithecus_oswaldi	extant	0.781	2.588
Papio	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Australopithecus	extinct	2.588	5.333
Australopithecus	extinct	2.588	5.333
Homo_sapiens	extant	0.0117	2.588
Homo_sapiens	extant	0	2.588
Cercopithecus	extinct	0.0117	5.333
Cercopithecus	extinct	0.0117	5.333
Homo_erectus	extinct	0.781	1.806
Theropithecus_oswaldi	extant	0.781	1.806
Libypithecus	extinct	5.333	7.246
Papio	extinct	1.806	2.588
Papio	extinct	1.806	2.588
Theropithecus_oswaldi	extant	1.806	2.588
Theropithecus_oswaldi	extant	0.781	1.806
Australopithecus_boisei	extinct	0.781	2.588
Praeanthropus_africanus	extinct	2.588	5.333
Sivapithecus	extinct	11.62	13.82
Limnopithecus	extinct	11.62	13.82
Proconsul_africanus	extinct	11.62	13.82
Proconsul_nyanzae	extinct	11.62	13.82
Cercopithecidae	extinct	0.781	2.588
Papio	extinct	0	2.588
Papio	extinct	0	0.0117
Papio	extinct	0.0117	2.588
Papio_cynocephalus	extant	0	0.0117
Cercopithecidae	extinct	0	0.0117
Chlorocebus_aethiops	extant	0	0.0117
Papio	extinct	0	0.0117
Chlorocebus_aethiops	extant	0	0.0117
Papio	extinct	0	0.0117
Homo_sapiens	extant	0	0.0117
Papio	extinct	0	0.0117
Papio	extinct	0	0.0117
Papio	extinct	0	0.0117
Papio	extinct	0.0117	2.588
Papio	extinct	0.0117	2.588
Homo_sapiens	extant	0.0117	2.588
Papio	extinct	0	0.0117
Papio	extinct	0	0.0117
Homo_sapiens	extant	0	0.0117
Homo_sapiens	extant	0	0.0117
Papio	extinct	0	0.0117
Homo_sapiens	extant	0	0.0117
Homo_sapiens	extant	0	0.0117
Papio	extinct	0	2.588
Homo_sapiens	extant	0	2.588
Papio	extinct	0	2.588
Chlorocebus_aethiops	extant	0	2.588
Papio	extinct	0	2.588
Papio	extinct	0	2.588
Homo_sapiens	extant	0	2.588
Papio	extinct	0.0117	5.333
Papio	extinct	0.0117	0.781
Papio	extinct	0.0117	0.781
Homo	extinct	0.0117	0.781
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Parapapio	extinct	1.806	2.588
Parapapio	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Theropithecus	extinct	0.781	3.6
Theropithecus_oswaldi	extant	0.781	3.6
Cercopithecidae	extinct	0.781	3.6
Theropithecus_oswaldi	extant	0.781	1.806
Theropithecus_oswaldi	extant	1.806	2.588
Equatorius_africanus	extinct	11.62	13.82
Sivapithecus	extinct	11.62	13.82
Victoriapithecus_macinnesi	extinct	11.62	13.82
Equatorius_africanus	extinct	11.62	13.82
Sivapithecus	extinct	11.62	13.82
Hominidae	extinct	11.62	13.82
Dryopithecus	extinct	11.62	13.82
Theropithecus_oswaldi	extant	0.781	1.806
Cercopithecidae	extinct	0.781	1.806
Theropithecus	extinct	1.806	3.6
Cercopithecidae	extinct	1.806	3.6
Cercopithecidae	extinct	1.806	3.6
Theropithecus	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Parapapio	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Theropithecus_oswaldi	extant	0.781	1.806
Theropithecus_oswaldi	extant	0.781	1.806
Theropithecus_oswaldi	extant	0.781	3.6
Cercopithecidae	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Cercopithecidae	extinct	0.0117	0.126
Homo_erectus	extinct	0.781	1.806
Australopithecus_boisei	extinct	0.781	3.6
Homo_erectus	extinct	0.781	3.6
Homo_erectus	extinct	0.781	1.806
Colobus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercopithecoides	extinct	0.781	3.6
Australopithecus_boisei	extinct	0.781	3.6
Homo_erectus	extinct	0.781	3.6
Australopithecus_boisei	extinct	0.781	3.6
Australopithecus_boisei	extinct	0.781	2.588
Australopithecus_boisei	extinct	0.781	2.588
Homo_habilis	extinct	0.781	2.588
Cercopithecoides	extinct	1.806	2.588
Cercopithecoides	extinct	1.806	2.588
Cercopithecidae	extinct	0.781	5.333
Homo	extinct	0.781	1.806
Australopithecus_boisei	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Australopithecus_boisei	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Theropithecus_oswaldi	extant	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	2.588
Theropithecus_oswaldi	extant	0.0117	5.333
Homo_erectus	extinct	1.806	2.588
Cercopithecoides	extinct	1.806	2.588
Homo_habilis	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Cercopithecoides	extinct	1.806	2.588
Theropithecus	extinct	3.6	5.333
Australopithecus_boisei	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Australopithecus_boisei	extinct	0.781	1.806
Colobus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercocebus	extinct	0.0117	5.333
Homo_erectus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercocebus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercocebus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Australopithecus_boisei	extinct	0.781	1.806
Homo_erectus	extinct	0.781	1.806
Australopithecus_boisei	extinct	0.781	1.806
Colobus	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercocebus	extinct	0.0117	5.333
Australopithecus_boisei	extinct	1.806	2.588
Australopithecus_boisei	extinct	0.781	3.6
Australopithecus_boisei	extinct	0.781	3.6
Theropithecus_oswaldi	extant	0.0117	5.333
Australopithecus_boisei	extinct	0.781	1.806
Theropithecus_oswaldi	extant	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Homo_habilis	extinct	1.806	2.588
Australopithecus	extinct	2.588	3.6
Theropithecus_oswaldi	extant	0.781	5.333
Chlorocebus_aethiops	extant	0.781	5.333
Australopithecus_boisei	extinct	0.0117	5.333
Homo	extinct	0.781	5.333
Australopithecus_boisei	extinct	0.781	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercopithecidae	extinct	0.0117	5.333
Australopithecus_boisei	extinct	0.781	5.333
Homo_habilis	extinct	0.781	5.333
Homo	extinct	1.806	2.588
Cercopithecoides	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Homo	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Cercopithecoides	extinct	1.806	2.588
Papio	extinct	0.0117	5.333
Theropithecus_oswaldi	extant	0.0117	5.333
Cercopithecidae	extinct	0.0117	5.333
Australopithecus_boisei	extinct	0.781	1.806
Australopithecus_boisei	extinct	0.781	3.6
Australopithecus_boisei	extinct	0.781	3.6
Cercopithecus	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Homo	extinct	1.806	2.588
Hominidae	extinct	2.588	3.6
Australopithecus	extinct	2.588	3.6
Theropithecus	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Australopithecus	extinct	2.588	3.6
Australopithecus_boisei	extinct	1.806	2.588
Homo	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Australopithecus	extinct	1.806	2.588
Australopithecus	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Australopithecus_boisei	extinct	1.806	2.588
Australopithecus	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Theropithecus_oswaldi	extant	1.806	2.588
Hominidae	extinct	1.806	2.588
Theropithecus_oswaldi	extant	1.806	2.588
Hominidae	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Homo_habilis	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Australopithecus	extinct	2.588	3.6
Australopithecus	extinct	2.588	3.6
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Cercopithecidae	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Cercopithecus	extinct	2.588	3.6
Theropithecus	extinct	2.588	3.6
Paracolobus	extinct	2.588	3.6
Cercopithecidae	extinct	2.588	3.6
Theropithecus	extinct	1.806	2.588
Theropithecus_oswaldi	extant	1.806	2.588
Hominidae	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Theropithecus	extinct	1.806	2.588
Australopithecus	extinct	1.806	2.588
Paracolobus	extinct	1.806	2.588
Hominidae	extinct	1.806	2.588
Cercopithecus	extinct	1.806	2.588
