Species	Status
Acrecebus_fraileyi	extinct
Aegyptopithecus_zeuxis	extinct
Afrasia_djijidae	extinct
Afropithecus_turkanensis	extinct
Afrotarsius_chatrathi	extinct
Afrotarsius_libycus	extinct
Alouatta	extinct
Alouatta_mauroi	extant
Alouatta_palliata	extant
Alouatta_seniculus	extant
Amamria_tunisiensis	extinct
Anapithecus	extinct
Anthropoidea	extinct
Aotus_dindensis	extinct
Aotus_trivirgatus	extant
Apidium	extinct
Apidium_bowni	extinct
Apidium_moustafai	extinct
Apidium_phiomense	extinct
Apidium_zuetina	extinct
Archicebus_achilles	extinct
Ardipithecus	extinct
Ardipithecus_ramidus	extinct
Arsinoea_kallimos	extinct
Ateles_geoffroyi	extant
Ateles_paniscus	extant
Australopithecus	extinct
Australopithecus_africanus	extinct
Australopithecus_boisei	extinct
Australopithecus_robustus	extinct
Australopithecus_sediba	extinct
Bahinia_banyueae	extinct
Bahinia_pondaungensis	extinct
Biretia_fayumensis	extinct
Biretia_megalopsis	extinct
Biretia_piveteaui	extinct
Branisella_boliviana	extinct
Bugtipithecus_inexpectans	extinct
Callicebus	extinct
Callimico_goeldii	extant
Callithrix_pygmaea	extant
Callitrichinae	extinct
Canaanimico_amazonensis	extinct
Carlocebus_carmenensis	extinct
Carlocebus_intermedius	extinct
Catopithecus_browni	extinct
Cebidae	extinct
Cebinae	extinct
Cebupithecia_sarmientoi	extinct
Cebus_apella	extant
Cebus_capucinus	extant
Cebus_nigrivittatus	extant
Cercocebus	extinct
Cercopithecidae	extinct
Cercopithecinae	extinct
Cercopithecoidea	extinct
Cercopithecoides	extinct
Cercopithecus	extinct
Cercopithecus_mitis	extant
Cercopithecus_pygerythrus	extant
Chilecebus_carrascoensis	extinct
Chiropotes	extinct
Chlorocebus_aethiops	extant
Chlorocebus_patas	extant
Chororapithecus_abyssinicus	extinct
Colobinae	extinct
Colobus	extinct
Colobus_guereza	extant
Dinopithecus	extinct
Dionysopithecus_shuangouensis	extinct
Dolichocebus_gaimanensis	extinct
Dolichopithecus	extinct
Dolichopithecus_ruscinensis	extinct
Donrussellia	extinct
Donrussellia_lusitanica	extinct
Donrussellia_provincialis	extinct
Dryopithecus	extinct
Dryopithecus_brancoi	extinct
Dryopithecus_mogharensis	extinct
Eosimias	extinct
Eosimias_centennicus	extinct
Eosimias_dawsonae	extinct
Eosimias_sinensis	extinct
Equatorius_africanus	extinct
Ganlea_megacanina	extinct
Gigantopithecus	extinct
Gorgopithecus	extinct
Graecopithecus	extinct
Griphopithecus	extinct
Hesperotarsius_sindhensis	extinct
Hesperotarsius_thailandicus	extinct
Hominidae	extinct
Hominoidea	extinct
Homo	extinct
Homo_antecessor	extinct
Homo_erectus	extinct
Homo_georgicus	extinct
Homo_habilis	extinct
Homo_heidelbergensis	extinct
Homo_neanderthalensis	extinct
Homo_rudolfensis	extinct
Homo_sapiens	extant
Homunculus	extinct
Homunculus_patagonicus	extinct
Hylobates	extinct
Hylobatidae	extinct
Insulacebus_toussaintiana	extant
Kalepithecus	extinct
Kalepithecus_songhorensis	extinct
Kamoyapithecus_hamiltoni	extinct
Kenyapithecus	extinct
Kenyapithecus_wickeri	extinct
Khoratpithecus	extinct
Khoratpithecus_ayeyarwadyensis	extinct
Khoratpithecus_piriyai	extinct
Kogolepithecus_morotoensis	extinct
Krabia_minuta	extinct
Laccopithecus_robustus	extinct
Lagonimico_conclucatus	extinct
Lagothrix_lagotricha	extant
Langsonia_liquidens	extinct
Leontopithecus_midas	extant
Libypithecus	extinct
Limnopithecus	extinct
Lokonepithecus_manai	extinct
Lomorupithecus_harrisoni	extinct
Lufengpithecus	extinct
Lufengpithecus_chiangmuanensis	extinct
Macaca	extinct
Macaca_assamensis	extinct
Macaca_mulatta	extinct
Macaca_sylvanus	extinct
Macaca_thibetana	extinct
Macacus_robustus	extinct
Mazzonicebus_almendrae	extinct
Mesopithecus	extinct
Mesopithecus_monspessulanus	extinct
Mesopithecus_pentelicus	extinct
Micodon_kiotensis	extinct
Miocallicebus_villaviejai	extinct
Morotopithecus_bishopi	extinct
Myanmarpithecus_yarshensis	extinct
Neosaimiri_annectens	extinct
Neosaimiri_fieldsi	extinct
Nomascus_concolor	extinct
Noropithecus_bulukensis	extinct
Notnamaia_bogenfelsi	extinct
Nsungwepithecus_gunnelli	extinct
Nuciruptor_rubricae	extinct
Nyanzapithecus	extinct
Oligopithecidae	extinct
Oligopithecus_rogeri	extinct
Oligopithecus_savagei	extinct
Oligotarsius_rarus	extinct
Oreopithecus	extinct
Panamacebus_transitus	extinct
Papio	extinct
Papio_anubis	extant
Papio_cynocephalus	extant
Papio_hamadryas	extant
Papionini	extinct
Paracolobus	extinct
Paradolichopithecus	extinct
Paralouatta_marianae	extinct
Parapapio	extinct
Parapithecidae	extinct
Parapithecus_fraasi	extinct
Patasola_magdalenae	extinct
Perupithecus_ucayaliensis	extinct
Phenacopithecus_krishtalkai	extinct
Phenacopithecus_xueshii	extinct
Phileosimias_brahuiorum	extinct
Phileosimias_kamali	extinct
Pierolapithecus_catalaunicus	extinct
Pithecia	extinct
Pitheciidae	extinct
Platodontopithecus_jianghuaiensis	extinct
Platyrrhini	extinct
Pliopithecidae	extinct
Pliopithecus	extinct
Pliopithecus_antiquus	extinct
Pliopithecus_vindobonensis	extinct
Pliopithecus_zhanxiangi	extinct
Pondaungia	extinct
Pondaungia_cotteri	extinct
Pondaungia_minuta	extinct
Pongo	extinct
Pongo_hooijeri	extinct
Pongo_pygmaeus	extinct
Praeanthropus_africanus	extinct
Presbytis	extinct
Proconsul	extinct
Proconsul_africanus	extinct
Proconsul_heseloni	extinct
Proconsul_major	extinct
Proconsul_meswae	extinct
Proconsul_nyanzae	extinct
Procynocephalus	extinct
Prohylobates_tandyi	extinct
Propithecia_neuquenensis	extinct
Propliopithecidae	extinct
Propliopithecus	extinct
Propliopithecus_ankeli	extinct
Propliopithecus_chirobates	extinct
Propliopithecus_haeckeli	extinct
Proteopithecus_sylviae	extinct
Protopithecus_brasiliensis	extant
Pygathrix_nemaeus	extinct
Qatrania_basiodontos	extinct
Qatrania_fleaglei	extinct
Qatrania_wingi	extinct
Rhinopithecus	extinct
Rhinopithecus_roxellana	extinct
Rukwapithecus_fleaglei	extinct
Saadanius_hijazensis	extinct
Saguinus	extinct
Saguinus_fuscicollis	extant
Sahelanthropus_tchadensis	extinct
Saimiri	extinct
Saimiri_sciureus	extant
Samburupithecus_kiptalami	extinct
Serapia_eocaena	extinct
Siamopithecus_eocaenus	extinct
Simonsius_grangeri	extinct
Sivapithecus	extinct
Sivapithecus_indicus	extinct
Sivapithecus_punjabicus	extinct
Solimoea_acrensis	extinct
Soriacebus	extinct
Soriacebus_adrianae	extinct
Soriacebus_ameghinorum	extinct
Stirtonia	extinct
Stirtonia_tatacoensis	extinct
Stirtonia_victoriae	extinct
Symphalangus_syndactylus	extinct
Talahpithecus_parvus	extinct
Tarsiidae	extinct
Tarsius_eocaenus	extinct
Tarsius_sirindhornae	extinct
Theropithecus	extinct
Theropithecus_oswaldi	extant
Trachypithecus	extinct
Trachypithecus_cristatus	extinct
Trachypithecus_obscurus	extinct
Trachypithecus_phayrei	extinct
Tremacebus_harringtoni	extinct
Turkanapithecus_kalakolensis	extinct
Udabnopithecus_garedziensis	extinct
Victoriapithecus	extinct
Victoriapithecus_macinnesi	extinct
Xanthorhysis_tabrumi	extinct
