"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=equidae"
"Access Time","Fri 2017-02-03 06:54:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.211"
"Records Found","5815"
"Records Returned","5815"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138748","occ","","","11798","Hipparion cf. nagriensis","species","43000","species not entered","Hipparion","genus","43000","Turolian","","8.7","5.333","10883"
"138824","occ","","","11799","Hipparion gracile","species","43000","species not entered","Hipparion","genus","43000","Late Miocene","Early Pliocene","11.608","3.6","4198"
"138829","occ","","","11799","Equidae indet.","family","42984","","Equidae","family","42984","Late Miocene","Early Pliocene","11.608","3.6","4198"
"138839","occ","","","11803","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","10604"
"147929","occ","","","13060","Hipparion punjabiense","species","43000","species not entered","Hipparion","genus","43000","Late Miocene","","11.608","5.333","4341"
"150903","occ","","","13455","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6077"
"150904","occ","","","13457","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Pleistocene","Late Pleistocene","2.588","0.0117","6078"
"150905","occ","","","13458","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150906","occ","","","13459","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150907","occ","","","13460","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150908","occ","","","13461","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150909","occ","","","13462","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150910","occ","","","13464","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150911","occ","","","13465","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150912","occ","","","13463","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150913","occ","","","13466","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150914","occ","","","13467","Equus hemionus","species","46275","recombined as","Equus (Hemionus) hemionus","species","46275","Late Pleistocene","","0.126","0.0117","6078"
"150915","occ","","","13468","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150916","occ","","","13469","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150917","occ","","","13470","Equus namadicus","species","42996","species not entered","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6078"
"150920","occ","","","13471","Equus sp.","genus","42996","","Equus","genus","42996","Late Pleistocene","","0.126","0.0117","6079"
"150926","occ","","","13472","Hipparion ? sp.","genus","43000","","Hipparion","genus","43000","Middle Miocene","","15.97","11.608","6080"
"150966","occ","","","13473","Hipparion nagriensis","species","43000","species not entered","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080"
"150967","occ","","","13473","Hipparion theobaldi","species","43000","species not entered","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080"
"151013","occ","","","13474","Hipparion theobaldi","species","43000","species not entered","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080"
"151014","occ","","","13474","Hipparion antilopinum","species","43000","species not entered","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6080"
"151037","occ","","","13477","Hypohippus sp.","genus","43003","","Hypohippus","genus","43003","Late Miocene","","11.608","5.333","6093"
"151040","occ","","","13477","Hipparion spp.","genus","43000","","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6093"
"151047","occ","","","13481","Hipparion sp.","genus","43000","","Hipparion","genus","43000","Miocene","","23.03","5.333","6101"
"154250","occ","","","28618","Equus oldowayensis","species","42996","species not entered","Equus","genus","42996","Early Pleistocene","","2.588","0.781","7837"
"157316","occ","","","13949","Equus sp.","genus","42996","","Equus","genus","42996","Pleistocene","","2.588","0.0117","6175"
"157944","occ","","","13998","Hipparion gracile","species","43000","species not entered","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6183"
"157945","occ","","","13998","Hipparion sp.","genus","43000","","Hipparion","genus","43000","Late Miocene","","11.608","5.333","6183"
"167811","occ","","","15225","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","2078"
"168030","occ","","","15290","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","2078"
"168040","occ","1082","","15293","Xenicohippus craspedotum","species","52715","","Xenicohippus craspedotum","species","47310","Wasatchian","","55.8","50.3","1552"
"168051","occ","","","15295","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","2078"
"168074","occ","","","15309","Xenicohippus sp.","genus","43025","","Xenicohippus","genus","43025","Wasatchian","","55.8","50.3","2078"
"168258","occ","","","15362","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","2078"
"168288","occ","","","15370","Xenicohippus grangeri","species","52716","","Xenicohippus grangeri","species","52716","Wasatchian","","55.8","50.3","2078"
"168392","occ","30952","","15391","Xenicohippus osborni","species","52717","","Xenicohippus osborni","species","52717","Wasatchian","","55.8","50.3","53105"
"168415","occ","","","15399","Xenicohippus osborni","species","52717","","Xenicohippus osborni","species","52717","Wasatchian","","55.8","50.3","2078"
