"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=catarrhini"
"Access Time","Fri 2017-02-03 06:56:30 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","catarrhini"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0433"
"Records Found","675"
"Records Returned","675"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"138735","occ","","","11798","Lufengpithecus lufengensis","species","89270","species not entered","Lufengpithecus","genus","89270","Turolian","","8.7","5.333","4196"
"138736","occ","","","11798","Laccopithecus robustus","species","58366","","Laccopithecus robustus","species","58366","Turolian","","8.7","5.333","11394"
"138831","occ","","","11800","Sivapithecus indicus","species","133688","","Sivapithecus indicus","species","133676","Late Miocene","","11.608","5.333","4199"
"150075","occ","22506","","13293","Hylobatidae indet.","family","40889","","Hylobatidae","family","40889","Middle Pleistocene","Late Pleistocene","0.781","0.0117","29343"
"150076","occ","","","13293","Pongo pygmaeus","species","183261","","Pongo pygmaeus","species","232338","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"154616","occ","","","13738","Homo sapiens","species","83088","","Homo sapiens","species","83088","Holocene","","0.0117","0","6145"
"161532","occ","","","14243","Homo sapiens","species","83088","","Homo sapiens","species","83088","Late Pleistocene","","0.126","0.0117","6297"
"211988","occ","","","21281","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","4454"
"212049","occ","","","21294","Homo erectus","species","83084","","Homo erectus","species","83084","Calabrian","","1.806","0.781","4454"
"212131","occ","","","21332","Australopithecus cf. africanus","species","83066","","Australopithecus africanus","species","83066","Messinian","Piacenzian","7.246","2.588","4648"
"212216","occ","","","21336","cf. Australopithecus sp.","genus","40900","","Australopithecus","genus","40900","Zanclean","","5.333","3.6","4648"
"212227","occ","","","21337","Homo sapiens","species","83088","","Homo sapiens","species","83088","Late Pleistocene","","0.126","0.0117","4652"
"212246","occ","19389","","21357","Proconsul cf. africanus","species","157732","","Proconsul africanus","species","157732","Burdigalian","","20.44","15.97","4662"
"212283","occ","","","21367","Hominidae indet.","family","40899","","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212288","occ","","","21368","Hominidae indet.","family","40899","","Hominidae","family","40899","Calabrian","","1.806","0.781","4469"
"212308","occ","","","21370","Homo sp.","genus","40901","","Homo","genus","40901","Late Pliocene","Calabrian","3.6","0.781","8610"
"212316","occ","","","21370","Hominidae indet.","family","40899","","Hominidae","family","40899","Late Pliocene","Calabrian","3.6","0.781","8610"
"212320","occ","","","21376","Hominidae indet.","family","40899","","Hominidae","family","40899","Gelasian","","2.588","1.806","8610"
